Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Group,Size,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
Heidi Jensen,Jack Hasting,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Shallow,30,12,1,Drupella,0-5,8,0,8,1,676d3e20399de246bcff8eef
Heidi Jensen,Jack Hasting,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Medium,30,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8ef2
Heidi Jensen,Jack Hasting,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Medium,30,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8ef2
Rune Nordenoft,J-Jack Ballagher,2017-09-27 00:00:00,MASAPLOD NORTE MPA,1,Medium,30,12,1,Drupella,0-5,14,0,14,1,676d3e20399de246bcff8ef5
Rune Nordenoft,J-Jack Ballagher,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Medium,30,12,1,Drupella,0-5,30,0,30,1,676d3e20399de246bcff8ef7
Pepita Andersson,Raffy Casinares,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Deep,30,12,1,Drupella,0-5,11,0,11,1,676d3e20399de246bcff8ef9
Pepita Andersson,Raffy Casinares,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Deep,30,12,1,Drupella,0-5,16,0,16,1,676d3e20399de246bcff8ef9
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Shallow,30,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8efc
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Shallow,30,12,1,Drupella,0-5,12,0,12,1,676d3e20399de246bcff8efc
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Shallow,30,12,1,Drupella,0-5,10,0,10,1,676d3e20399de246bcff8efc
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Shallow,30,12,1,Crown of Thorns,30-40,1,0,1,1,676d3e20399de246bcff8efc
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Shallow,30,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8efc
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Medium,30,12,1,Drupella,0-5,12,0,12,1,676d3e20399de246bcff8f02
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Medium,30,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8f02
Heidi Jensen,Emma Cottone,2017-09-29 00:00:00,Antulang,2,Medium,30,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8f02
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,2,Shallow,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8f06
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,2,Shallow,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8f06
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,1,Shallow,29,12,1,Drupella,0-5,3,0,3,1,676d3e20399de246bcff8f09
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,3,Shallow,29,12,1,Drupella,0-5,14,0,14,1,676d3e20399de246bcff8f0b
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,3,Shallow,29,12,1,Drupella,0-5,21,0,21,1,676d3e20399de246bcff8f0b
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,2,Medium,29,12,1,Drupella,0-5,8,0,8,1,676d3e20399de246bcff8f0e
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,2,Medium,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8f0e
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,3,Medium,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8f11
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,3,Medium,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8f11
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,1,Deep,29,12,1,Drupella,0-5,5,0,5,1,676d3e20399de246bcff8f14
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,2,Deep,29,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8f16
Laura Schram,Laura Schram,2017-09-29 00:00:00,Lutoban Pier,2,Deep,29,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8f16
